Site,Date,DOY,Sunset time,Time,After sunset (min),SQM (mags/arcsec2),Temperature (°C),Wet Bulb Temp (°C),Relative Humidity (%),Barometric Pressure (mb),Altitude (m),Station Pressure (mb),Heat Index (°C),Dew Point (°C),Humidity Ratio (g/kg),Density Altitude (m),Relative Air Density (%),Air Flow (m3/m),Air Speed (km/h),Evaporation Rate (kg/m²/h),Wind Chill (°C),Delta T (°C),Air Density (kg/m3),Notes
W2-3,May 28,147,8:12 PM,8:12 PM,0,9.99,20.1,13.7,49.4,1016,-24,1016,18.9,9.1,7.17,196,98.1,0,0,0.09,20,6.3,1.202,
W2-3,May 28,147,8:12 PM,8:24 PM,12,11.45,20.3,11.9,35.8,1016,-25,1016,18.5,4.7,5.25,193,98.1,0,0,0.11,20.2,8.4,1.202,
W2-3,May 28,147,8:12 PM,8:36 PM,24,13.52,19.9,11.7,36.7,1015.8,-23,1015.8,18.2,4.7,5.26,182,98.2,0,0,0.11,19.9,8.2,-,
W2-3,May 28,147,8:12 PM,8:48 PM,36,15.7,19.2,10.9,34.7,1016,-25,1016,16.9,3.2,4.75,151,98.5,0,0,0.12,19.1,8.3,-,
W2-3,May 28,147,8:12 PM,9:00 PM,48,17.5,18.9,11.2,38.2,1016,-25,1016,16.6,4.3,5.14,142,98.6,0,0,0.12,18.8,7.7,1.208,
W2-3,May 28,147,8:12 PM,9:12 PM,60,18.53,18.4,11.3,41.7,1016.1,-25,1016.1,16.2,5.2,5.46,128,98.7,0,0,0.11,18.4,7.1,1.209,
W2-3,May 28,147,8:12 PM,9:24 PM,72,18.77,18,11.6,46.5,1016.2,-25,1016.2,15.9,6.3,5.91,113,98.9,0,0,0.11,17.9,6.4,1.211,
W2-3,May 28,147,8:12 PM,9:36 PM,84,18.92,18.7,13.2,53.4,1016.4,-27,1016.4,17.2,9.1,7.13,145,98.6,0,0,0.09,18.7,5.5,1.207,
W2-3,May 28,147,8:12 PM,9:48 PM,96,18.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
W2-2,May 28,147,8:12 PM,8:12 PM,0,9.57,22.7,-,56.2,-,-,-,-,-,-,-,-,-,0,-,-,-,-,
W2-2,May 28,147,8:12 PM,8:24 PM,12,11.19,22.3,-,58.9,-,-,-,-,-,-,-,-,-,0,-,-,-,-,
W2-2,May 28,147,8:12 PM,8:36 PM,24,13.35,19.3,-,43.2,-,-,-,-,-,-,-,-,-,0,-,-,-,-,
W2-2,May 28,147,8:12 PM,8:48 PM,36,15.62,21.2,13.4,40.9,1009.4,-25,1016.4,20.2,7.4,6.35,228,97.8,0,0,0.1,21.1,7.8,1.198,
W2-2,May 28,147,8:12 PM,9:00 PM,48,17.58,20,12.6,42,1009.2,-24,1016.2,18.4,6.7,6.06,185,98.2,0,0,0.1,19.9,7.4,1.203,
W2-2,May 28,147,8:12 PM,9:12 PM,60,18.46,22.1,13.7,38.2,1009.5,-26,1016.5,21.1,7.2,6.28,258,97.5,0,0,0.1,22.1,8.4,1.194,
W2-2,May 28,147,8:12 PM,9:24 PM,72,18.63,19.9,12.7,43,1009.7,-27,1016.6,18.4,6.9,6.16,178,98.2,2,1.3,0.14,19.8,7.2,1.204,
W2-2,May 28,147,8:12 PM,9:36 PM,84,18.93,20.4,13.5,45.8,1009.7,-28,1016.7,19.2,8.3,6.77,199,98.1,0,0,0.09,20.3,6.9,1.201,
W2-2,May 28,147,8:12 PM,9:48 PM,96,18.86,20.8,13.5,43.3,1009.7,-28,1016.7,19.8,7.9,6.59,214,97.9,0,0,0.1,20.8,7.3,1.199,
W2-1,May 28,147,8:12 PM,8:12 PM,0,10.53,18.2,10.6,37.9,1016.6,-29,1016.6,15.7,3.6,4.88,111,1.211,0,0,0.12,18.1,7.6,1.211,
W2-1,May 28,147,8:12 PM,8:24 PM,12,12.21,19.8,12.6,42.7,1016.6,-29,1016.6,18.1,6.8,6.08,174,98.3,0,0,0.1,19.7,7.2,1.204,
W2-1,May 28,147,8:12 PM,8:36 PM,24,14.53,18.5,12.3,48.3,1016.8,-31,1016.8,16.6,7.4,6.36,129,98.7,0,0,0.1,18.5,6.2,1.209,
W2-1,May 28,147,8:12 PM,8:48 PM,36,16.81,17.7,11,43.6,1016.9,-32,1016.9,15.5,5.2,5.44,93,99.1,0,0,0.11,17.6,6.7,1.214,
W2-1,May 28,147,8:12 PM,9:00 PM,48,18.47,17.3,11.2,47.1,1016.9,-31,1016.9,15.5,5.9,5.74,81,99.2,0,0,0.11,17.3,6.1,1.215,
W2-1,May 28,147,8:12 PM,9:12 PM,60,19.33,18.4,12.1,47.2,1016.9,-32,1016.9,16.4,6.9,6.16,122,98.8,0,0,0.1,18.3,6.3,1.21,
W2-1,May 28,147,8:12 PM,9:24 PM,72,19.33,18.1,12.2,50.4,1017.1,-33,1017.1,16.3,7.6,6.46,112,98.9,0,0,0.1,18.1,5.9,1.211,
W2-1,May 28,147,8:12 PM,9:36 PM,84,19.46,17.4,11.5,49.6,1017.1,-34,1017.1,15.5,6.7,6.06,83,99.2,2,1.9,0.16,17.3,5.9,1.215,
W2-1,May 28,147,8:12 PM,9:48 PM,96,19.87,17,11.3,50.7,1017,-33,1017,15.3,6.7,6.07,72,99.3,0,0,0.1,17,5.7,1.216,
W2-2,June 2,152,8:15 PM,8:15 PM,0,9.04,17.7,12.9,58.6,1000.5,48,1007.5,16.3,9.5,7.4,202,98,0,0,0.09,17.6,4.8,1.201,
W2-2,June 2,152,8:15 PM,8:30 PM,15,11.51,17.1,12.5,58.9,1000.7,48,1007.6,15.8,9,7.17,179,98.2,0,0,0.09,17.1,4.6,1.204,
W2-2,June 2,152,8:15 PM,8:45 PM,30,14.12,16.2,11.8,59.7,1000.9,45,1007.9,15,8.4,6.87,143,98.6,0,0,0.1,16.2,4.4,1.208,
W2-2,June 2,152,8:15 PM,9:00 PM,45,16.63,16.3,11.9,59.7,1000.9,44,1007.9,15,8.4,6.9,145,98.6,0,0,0.1,16.2,4.4,1.208,
W2-2,June 2,152,8:15 PM,9:15 PM,60,18.63,15.2,12.3,72,1001.2,42,1008.3,14.6,10.2,7.76,106,98.9,0,0,0.09,15.1,2.9,1.212,
W2-2,June 2,152,8:15 PM,9:30 PM,75,19.03,15.5,12.3,69.7,1001.5,40,1008.5,14.9,10,7.67,117,98.8,0,0,0.09,15.5,3.2,1.211,
W2-2,June 2,152,8:15 PM,9:45 PM,90,19.26,15.3,12.7,75,1001.7,38,1008.7,14.8,10.9,8.12,107,98.9,0,0,0.08,15.2,2.6,1.212,
W2-2,June 2,152,8:15 PM,10:00 PM,105,19.48,18.9,15.8,73,1001.9,37,1008.9,18.3,13.9,9.97,245,97.6,0,0,0.06,18.8,3.1,1.196,
W2-2,June 2,152,8:15 PM,10:15 PM,120,18.93,14.7,11.5,68.5,1002,36,1009,14,9,7.15,78,99.2,0,0,0.09,14.7,3.2,1.215,
W2-1,June 2,152,8:15 PM,8:15 PM,0,10.77,18.8,13.6,56.3,1007.7,44,1007.7,17.3,9.9,7.61,239,97.7,0,0,0.08,18.7,5.2,1.197,
W2-1,June 2,152,8:15 PM,8:30 PM,15,12.61,18.4,13,54.5,1007.9,42,1007.9,16.8,9.1,7.2,222,97.8,0,0,0.09,18.3,5.4,1.199,
W2-1,June 2,152,8:15 PM,8:45 PM,30,15.13,16.5,12.3,61.9,1008.2,40,1008.2,15.4,9.1,7.23,150,98.5,0,0,0.09,16.4,4.2,1.207,
W2-1,June 2,152,8:15 PM,9:00 PM,45,17.77,16.6,12.3,60.6,1008.3,39,1008.3,15.5,9,7.15,154,98.5,0,0,0.09,16.6,4.3,1.206,
W2-1,June 2,152,8:15 PM,9:15 PM,60,19.2,16.8,12.3,59.7,1008.5,38,1008.5,15.5,8.9,7.11,157,98.5,0,0,0.09,16.7,4.5,1.206,
W2-1,June 2,152,8:15 PM,9:30 PM,75,19.5,16.6,11.8,57.3,1008.8,35,1008.7,15.2,8.1,6.74,145,98.6,0,0,0.1,16.5,4.8,1.208,
W2-1,June 2,152,8:15 PM,9:45 PM,90,19.47,15.8,12.2,66,1009,34,1009,14.9,9.5,7.38,118,98.8,0,0,0.09,15.7,3.6,1.211,
W2-1,June 2,152,8:15 PM,10:00 PM,105,19.7,15,11.8,68.3,1009.1,32,1009.1,14.3,9.3,7.28,89,99.1,0,0,0.09,15,3.2,1.214,
W2-1,June 2,152,8:15 PM,10:15 PM,120,19.82,15.2,11.5,65.2,1009.3,30,1009.3,14.3,8.8,7.03,93,99.1,0,0,0.09,15.2,3.7,1.214,
W3-1,June 2,152,8:15 PM,8:15 PM,0,7.77,19.4,16.1,71.3,1009.9,26,1009.9,19,14.1,10.08,256,97.5,0,0,0.05,19.4,3.4,1.195,
W3-1,June 2,152,8:15 PM,8:30 PM,15,9.69,17.9,13.1,58.1,1009.8,26,1009.8,16.5,9.6,7.45,188,98.2,0,0,0.09,17.9,4.8,1.203,
W3-1,June 2,152,8:15 PM,8:45 PM,30,12.4,17.4,12.7,57.8,1010.1,24,1010.1,16,9.1,7.17,165,98.4,0,0,0.09,17.4,4.8,1.205,
W3-1,June 2,152,8:15 PM,9:00 PM,45,15.26,16.7,13.6,71.3,1010,24,1010,16,11.4,8.44,145,98.6,0,0,0.08,16.6,3.1,1.207,
W3-1,June 2,152,8:15 PM,9:15 PM,60,16.71,16.1,12,61.8,1010.4,22,1010.4,15,8.8,7.07,115,98.8,0,0,0.09,16.1,4.2,1.211,
W3-1,June 2,152,8:15 PM,9:30 PM,75,17.33,14.9,11.4,66.2,1010.5,20,1010.5,14,8.6,6.96,67,99.3,0,0,0.1,14.8,3.5,1.217,
W3-1,June 2,152,8:15 PM,9:45 PM,90,17.82,14.5,11.4,69.6,1010.9,18,1010.9,13.9,9,7.16,53,99.4,0,0,0.09,14.5,3.1,1.218,
W3-1,June 2,152,8:15 PM,10:00 PM,105,17.85,14.5,11.2,67.8,1010.8,19,1010.8,13.7,8.6,6.96,50,99.5,0,0,0.1,14.4,3.3,1.219,
W3-1,June 2,152,8:15 PM,10:15 PM,120,17.86,15.2,11.4,64.4,1011.1,15,1011.1,14.2,8.5,6.91,72,99.3,0,0,0.1,15.1,3.8,1.216,
W3-2,June 2,152,8:15 PM,8:15 PM,0,8.01,18.6,13.4,55.8,1009.6,28,1009.6,17,9.6,7.44,212,97.9,1,1.2,0.11,18.5,5.2,1.2,
W3-2,June 2,152,8:15 PM,8:30 PM,15,10.16,16.9,12.4,59.5,1009.8,27,1009.8,15.6,9,7.16,150,98.5,0,0,0.09,16.9,4.5,1.207,
W3-2,June 2,152,8:15 PM,8:45 PM,30,12.79,16.3,12,60.4,1010,25,1010,15.2,8.7,6.99,125,98.8,0,0,0.09,16.3,4.3,1.21,
W3-2,June 2,152,8:15 PM,9:00 PM,45,15.29,15.9,12.3,66.5,1010.1,24,1010.1,15.1,9.7,7.49,112,98.9,0,0,0.09,15.9,3.6,1.211,
W3-2,June 2,152,8:15 PM,9:15 PM,60,17.1,15.5,11.7,64.3,1010.1,24,1010.1,14.5,8.8,7.03,93,99.1,0,0,0.09,15.4,3.8,1.214,
W3-2,June 2,152,8:15 PM,9:30 PM,75,17.58,14.7,11.2,65.9,1010.4,21,1010.4,13.9,8.4,6.86,61,99.4,0,0,0.1,14.7,3.5,1.217,
W3-2,June 2,152,8:15 PM,9:45 PM,90,17.66,14.4,11.4,70.9,1010.7,19,1010.7,13.7,9.2,7.24,49,99.5,0,0,0.09,14.3,3,1.219,
W3-2,June 2,152,8:15 PM,10:00 PM,105,18.3,14.3,11.3,69.9,1011.2,15,1011.2,13.6,8.9,7.09,40,99.6,0,0,0.09,14.2,3,1.22,
W3-2,June 2,152,8:15 PM,10:15 PM,120,18.47,15,12,70.1,1011.1,16,1011.1,14.3,9.6,7.43,67,99.3,0,0,0.09,14.9,3,1.217,
W3-3,June 2,152,8:15 PM,8:15 PM,0,10.82,19,13.7,55.9,1009.5,29,1009.5,17.6,10,7.65,228,97.8,0,0,0.08,18.9,5.3,1.198,
W3-3,June 2,152,8:15 PM,8:30 PM,15,12.47,17.5,12.5,56,1009.6,28,1009.6,16,8.7,6.99,172,98.3,0,0,0.09,17.5,5,1.204,
W3-3,June 2,152,8:15 PM,8:45 PM,30,15.16,16.3,12.5,64.3,1010,25,1010,15.4,9.6,7.43,126,98.7,0,0,0.09,16.3,3.8,1.21,
W3-3,June 2,152,8:15 PM,9:00 PM,45,17.56,15.5,11.8,64.6,1010,24,1010,14.6,8.9,7.09,96,99,0,0,0.09,15.5,3.7,1.213,
W3-3,June 2,152,8:15 PM,9:15 PM,60,18.44,15.1,11.6,66.2,1010.4,21,1010.4,14.3,8.9,7.09,79,99.2,0,0,0.09,15.1,3.5,1.215,
W3-3,June 2,152,8:15 PM,9:30 PM,75,18.52,14.5,11.2,67.6,1010.4,22,1010.4,13.8,8.6,6.96,56,99.4,0,0,0.1,14.5,3.3,1.218,
W3-3,June 2,152,8:15 PM,9:45 PM,90,18.71,14.6,11.8,72,1010.9,17,1010.9,14.1,9.6,7.45,56,99.4,0,0,0.09,14.6,2.8,1.218,
W3-3,June 2,152,8:15 PM,10:00 PM,105,18.74,14.7,11.4,68.3,1010.9,18,1010.9,13.9,8.9,7.11,57,99.4,0,0,0.09,14.6,3.3,1.218,
W3-3,June 2,152,8:15 PM,10:15 PM,120,18.9,14.9,11.4,67.1,1010.7,19,1010.7,14,8.8,7.05,65,99.3,0,0,0.09,14.8,3.5,1.217,
Z2-1,June 4,154,8:16 PM,8:16 PM,0,8.5,24.2,18.5,58.7,1008.6,37,1008.6,24.1,15.6,11.14,443,95.8,0,0,0.04,24.2,5.7,1.173,
Z2-1,June 4,154,8:16 PM,8:31 PM,15,10.19,22.8,17.4,59.5,1001.2,41,1008.4,22.7,14.5,10.36,391,96.2,0,0,0.05,22.8,5.4,1.179,
Z2-1,June 4,154,8:16 PM,8:46 PM,30,13.19,22.1,17.4,64,1001.2,42,1008.2,22.2,14.9,10.64,369,96.5,0,0,0.05,22,4.7,1.182,
Z2-1,June 4,154,8:16 PM,9:01 PM,45,15.9,21.6,17.2,65.5,1001.5,39,1008.5,21.7,14.8,10.59,349,96.6,2,1.4,0.06,21.5,4.4,1.184,
Z2-1,June 4,154,8:16 PM,9:16 PM,60,7.88,21.6,17,64.4,1001.7,38,1008.8,21.7,14.5,10.38,343,96.7,1,1.2,0.07,21.5,4.5,1.185,
Z2-1,June 4,154,8:16 PM,9:31 PM,75,18.66,21.1,16.8,65.3,1001.7,37,1008.8,21,14.3,10.23,326,96.9,0,0,0.05,21,4.3,1.187,
Z2-1,June 4,154,8:16 PM,9:46 PM,90,18.88,20.5,16.4,65.7,1002,35,1009,20.3,13.9,9.93,302,97.1,3,2.3,0.09,20.5,4.1,1.189,
Z2-1,June 4,154,8:16 PM,10:01 PM,105,19.03,20.8,17,68.9,1002,35,1009,20.8,14.9,10.62,317,96.9,3,2.4,0.08,20.8,3.8,1.188,
Z2-1,June 4,154,8:16 PM,10:16 PM,120,19.15,20.2,16.3,67.3,1001.9,36,1008.9,20,14,10,293,97.2,2,1.4,0.07,20.2,3.9,1.19,
Z2-2,June 4,154,8:16 PM,8:21 PM,5,9.56,23.6,18.1,58.7,1001,44,1008.1,23.5,15.1,10.75,425,95.9,0,0,0.04,23.6,5.5,1.175,
Z2-2,June 4,154,8:16 PM,8:36 PM,20,12.13,22.5,17.6,62.2,1001,44,1008,22.5,14.9,10.64,385,96.3,0,0,0.05,22.4,4.9,1.18,
Z2-2,June 4,154,8:16 PM,8:51 PM,35,15.41,22.1,17.5,63.9,1001,43,1008.1,22.3,15,10.7,373,96.4,0,0,0.04,22.1,4.6,1.181,
Z2-2,June 4,154,8:16 PM,9:06 PM,50,17.62,21.4,16.8,62.9,1001.2,43,1008.1,21.4,14.1,10.05,344,96.7,0,0,0.05,21.4,4.6,1.185,
Z2-2,June 4,154,8:16 PM,9:21 PM,65,18.57,21.3,17.3,67.5,1001.9,36,1008.9,21.5,15.1,10.73,337,96.8,0,0,0.04,21.3,4,1.185,
Z2-2,June 4,154,8:16 PM,9:36 PM,80,19.2,21.2,16.6,63.7,1001.7,38,1008.8,21.1,14,10.03,329,96.8,2,1.4,0.07,21.1,4.6,1.186,
Z2-2,June 4,154,8:16 PM,9:51 PM,95,19.4,20.9,16.7,66,1001.7,38,1008.7,20.9,14.3,10.23,320,96.9,1,1.2,0.07,20.9,4.2,1.187,
Z2-2,June 4,154,8:16 PM,10:06 PM,110,19.32,20.9,16.6,65.5,1001.7,38,1008.7,20.8,14.2,10.16,321,96.9,2,1.4,0.07,20.9,4.3,1.187,
Z2-2,June 4,154,8:16 PM,10:21 PM,125,19.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I checked the logs and I think this reading didn't save for some reason :(
Z2-3,June 4,154,8:16 PM,8:26 PM,10,10.05,24,18.3,58.1,1001.5,40,1008.5,23.8,15.3,10.89,435,95.8,0,0,0.04,24,5.7,1.174,
Z2-3,June 4,154,8:16 PM,8:41 PM,25,12.89,22.1,17.2,62.2,1001.4,40,1008.4,22.2,14.6,10.41,368,96.5,0,0,0.05,22.1,4.9,1.182,
Z2-3,June 4,154,8:16 PM,8:56 PM,40,15.66,21.6,17.5,66.8,1001.5,39,1008.5,21.9,15.2,10.84,353,96.6,0,0,0.04,21.6,4.1,1.184,
Z2-3,June 4,154,8:16 PM,9:11 PM,55,17.67,21.8,18,69.3,1001.7,37,1008.8,22.2,15.9,11.38,359,96.5,0,0,0.04,21.8,3.8,1.183,
Z2-3,June 4,154,8:16 PM,9:26 PM,70,18.38,21.5,17.5,67.9,1001.9,37,1008.9,21.8,15.3,10.94,345,96.7,0,0,0.04,21.5,4,1.184,
Z2-3,June 4,154,8:16 PM,9:41 PM,85,19.05,20.9,16.5,64.2,1002,36,1009,20.7,13.9,9.94,315,97,0,0,0.05,20.8,4.4,1.188,
Z2-3,June 4,154,8:16 PM,9:56 PM,100,18.75,21.3,17.3,67.4,1002,35,1009,21.5,15,10.72,335,96.8,1,1.3,0.06,21.3,4,1.186,
Z2-3,June 4,154,8:16 PM,10:11 PM,115,18.49,21,16.9,67.5,1002,35,1009.1,20.9,14.7,10.51,321,96.9,0,0,0.05,20.9,4.1,1.187,
Z2-3,June 4,154,8:16 PM,10:26 PM,130,18.73,20.6,16.4,65.2,1002,35,1009,20.4,13.9,9.92,306,97,0,0,0.05,20.6,4.2,1.189,
Z3-1,June 4,154,8:16 PM,8:16 PM,0,9.21,26.2,20.5,59.7,1013,1,1013,26.8,17.8,12.78,479,95.4,0,0,0.02,26.2,5.8,1.169,
Z3-1,June 4,154,8:16 PM,8:31 PM,15,10.9,24.8,20.8,69.9,1013.1,--,1013.1,25.4,18.9,13.75,434,95.8,0,0,0.01,24.8,4,1.174,
Z3-1,June 4,154,8:16 PM,8:46 PM,30,14.19,22.5,17.2,59.6,1012.9,2,1012.9,22.4,14.3,10.15,334,96.8,0,0,0.05,22.5,5.3,1.186,
Z3-1,June 4,154,8:16 PM,9:01 PM,45,16.6,21.7,17.8,68.8,1012.9,1,1012.9,22,15.7,11.18,313,97,0,0,0.04,21.7,3.9,1.188,
Z3-1,June 4,154,8:16 PM,9:16 PM,60,18.26,20.9,16.8,66.3,1013.4,-2,1013.4,20.8,14.4,10.21,271,97.4,0,0,0.05,20.8,4.1,1.193,
Z3-1,June 4,154,8:16 PM,9:31 PM,75,18.66,20.7,16.3,64.4,1013.6,-4,1013.6,20.6,13.8,9.81,262,97.5,0,0,0.06,20.7,4.4,1.194,
Z3-1,June 4,154,8:16 PM,9:46 PM,90,19.21,20.3,16.3,66.8,1013.4,-3,1013.4,20.1,13.9,9.93,250,97.6,0,0,0.05,20.3,4,1.195,
Z3-1,June 4,154,8:16 PM,10:01 PM,105,19.06,20.4,16.2,65.6,1013.8,-6,1013.8,20,13.7,9.76,246,97.6,0,0,0.06,20.3,4.2,1.196,
Z3-1,June 4,154,8:16 PM,10:16 PM,120,19.06,19.8,16.9,75.4,1013.2,-1,1013.2,19.8,15.3,10.88,239,97.7,0,0,0.04,19.8,2.9,1.197,
Z3-2,June 4,154,8:16 PM,8:21 PM,5,9.78,24.6,19.3,61,1013,1,1013,24.5,16.5,11.78,414,96,1,1.3,0.04,24.5,5.3,1.177,
Z3-2,June 4,154,8:16 PM,8:36 PM,20,12.25,23.7,18.7,63.1,1013,--,1013,23.8,16.2,11.54,382,96.3,0,0,0.03,23.6,5,1.18,
Z3-2,June 4,154,8:16 PM,8:51 PM,35,15.13,21.9,17.7,66.7,1012.9,1,1012.9,22.1,15.4,10.92,316,97,0,0,0.04,21.8,4.2,1.188,
Z3-2,June 4,154,8:16 PM,9:06 PM,50,17.48,21.7,16.7,60.1,1013.1,--,1013.1,21.7,13.7,9.77,301,97.1,0,0,0.06,21.7,5,1.189,
Z3-2,June 4,154,8:16 PM,9:21 PM,65,18.87,21.3,18.2,74.6,1013.6,-4,1013.6,21.6,16.6,11.81,294,97.2,0,0,0.03,21.2,3.1,1.19,
Z3-2,June 4,154,8:16 PM,9:36 PM,80,19.4,20.9,16.6,65.7,1013.6,-4,1013.6,20.7,14.2,10.11,269,97.4,0,0,0.05,20.8,4.3,1.193,
Z3-2,June 4,154,8:16 PM,9:51 PM,95,19.5,20.9,16.8,66.1,1013.5,-3,1013.5,20.9,14.3,10.2,271,97.4,0,0,0.05,20.9,4.1,1.193,
Z3-2,June 4,154,8:16 PM,10:06 PM,110,19.58,20.1,16,65.9,1013.7,-5,1013.7,19.8,13.6,9.68,239,97.7,0,0,0.06,20.1,4.1,1.197,
Z3-2,June 4,154,8:16 PM,10:21 PM,125,19.67,20.1,16.7,71.6,1013.8,-6,1013.8,19.9,14.8,10.5,241,97.7,0,0,0.05,20,3.4,1.196,
Z3-3,June 4,154,8:16 PM,8:26 PM,10,10.75,23,18.4,64.6,1012.7,3,1012.7,23.1,15.9,11.34,360,96.5,0,0,0.04,22.9,4.6,1.183,
Z3-3,June 4,154,8:16 PM,8:41 PM,25,13.54,22.2,17,60.1,1012.6,3,1012.6,22.2,14.1,10.06,326,96.9,2,1.6,0.08,22.2,5.2,1.187,
Z3-3,June 4,154,8:16 PM,8:56 PM,40,16.44,21.6,17.2,64.8,1012.8,2,1012.8,21.8,14.7,10.44,305,97.1,0,0,0.05,21.6,4.4,1.189,
Z3-3,June 4,154,8:16 PM,9:11 PM,55,18.06,21,16.7,65.4,1013,1,1013,20.8,14.2,10.12,277,97.3,2,1.9,0.08,20.9,4.3,1.192,
Z3-3,June 4,154,8:16 PM,9:26 PM,70,18.25,20.7,15.8,60.9,1013.2,-1,1013.2,20.4,12.9,9.27,263,97.5,0,0,0.06,20.7,4.9,1.194,
Z3-3,June 4,154,8:16 PM,9:41 PM,85,18.83,20.4,16.2,65.4,1013.4,-3,1013.4,20,13.7,9.75,250,97.6,0,0,0.06,20.3,4.2,1.195,
Z3-3,June 4,154,8:16 PM,9:56 PM,100,18.86,20.1,16.3,68.2,1013.6,-4,1013.6,19.9,14.1,10.02,242,97.6,0,0,0.05,20.1,3.8,1.196,
Z3-3,June 4,154,8:16 PM,10:11 PM,115,18.92,20.2,16.8,71.5,1013.3,-2,1013.3,20.1,14.9,10.56,252,97.6,0,0,0.05,20.2,3.4,1.195,
Z3-3,June 4,154,8:16 PM,10:26 PM,130,18.79,19.8,16.4,71.5,1013.4,-2,1013.4,19.5,14.5,10.29,233,97.7,0,0,0.05,19.7,3.4,1.197,
S1-1,June 11,161,8:21 PM,8:21 PM,0,10.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Light may not have been turned on to brightest setting
S1-1,June 11,161,8:21 PM,8:36 PM,15,12.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Light may not have been turned on to brightest setting
S1-1,June 11,161,8:21 PM,8:51 PM,30,14.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Light may not have been turned on to brightest setting
S1-1,June 11,161,8:21 PM,9:06 PM,45,17.62,21.2,17.4,69.7,1002.5,31,1009.6,21.3,15.4,10.98,326,96.9,0,0,0.04,21.1,3.8,1.187,Light may not have been turned on to brightest setting
S1-1,June 11,161,8:21 PM,9:21 PM,60,19.11,20.8,17.4,72.2,1002.5,31,1009.6,21,15.6,11.13,314,97,0,0,0.04,20.8,3.4,1.188,Light may not have been turned on to brightest setting
S1-1,June 11,161,8:21 PM,9:36 PM,75,19.69,20.6,17.6,74.6,1002.9,28,1009.9,20.8,15.9,11.37,306,97,0,0,0.04,20.6,3,1.189,Light may not have been turned on to brightest setting
S1-1,June 11,161,8:21 PM,9:51 PM,90,19.84,21.4,18.4,76,1002.2,34,1009.3,21.8,16.9,12.13,342,96.7,0,0,0.03,21.3,3,1.185,Light may not have been turned on to brightest setting
S1-1,June 11,161,8:21 PM,10:06 PM,105,19.82,21.4,18.2,73.7,1002.7,29,1009.8,21.7,16.5,11.77,335,96.8,0,0,0.03,21.3,3.2,1.186,Light may not have been turned on to brightest setting
S1-1,June 11,161,8:21 PM,10:21 PM,120,19.88,20.8,17.6,73.2,1002.9,28,1009.9,20.9,15.8,11.28,311,97,0,0,0.04,20.7,3.2,1.188,Light may not have been turned on to brightest setting
S1-2,June 11,161,8:21 PM,8:26 PM,5,10.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Light may not have been turned on to brightest setting
S1-2,June 11,161,8:21 PM,8:41 PM,20,12.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Light may not have been turned on to brightest setting
S1-2,June 11,161,8:21 PM,8:56 PM,35,15.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Light may not have been turned on to brightest setting
S1-2,June 11,161,8:21 PM,9:11 PM,50,17.99,21.2,17.6,70.4,1002,35,1009.1,21.4,15.6,11.14,334,96.8,0,0,0.04,21.2,3.6,1.186,Light may not have been turned on to brightest setting
S1-2,June 11,161,8:21 PM,9:26 PM,65,19.21,21.3,18,73.3,1002.2,35,1009.2,21.6,16.3,11.6,337,96.8,0,0,0.03,21.2,3.3,1.185,Light may not have been turned on to brightest setting
S1-2,June 11,161,8:21 PM,9:41 PM,80,19.56,21.1,17.6,71,1002.4,32,1009.4,21.3,15.7,11.18,328,96.8,0,0,0.04,21.1,3.5,1.186,Light may not have been turned on to brightest setting
S1-2,June 11,161,8:21 PM,9:56 PM,95,19.64,21.8,17.7,67.8,1002.2,34,1009.3,22,15.5,11.07,349,96.6,0,0,0.04,21.7,4,1.184,Light may not have been turned on to brightest setting
S1-2,June 11,161,8:21 PM,10:11 PM,110,19.64,21.3,17.8,71.3,1002.2,34,1009.2,21.4,15.9,11.31,335,96.8,0,0,0.04,21.2,3.5,1.186,Light may not have been turned on to brightest setting
S1-2,June 11,161,8:21 PM,10:26 PM,125,19.73,20.9,17.6,72.7,1002.4,32,1009.5,21,15.8,11.27,321,96.9,0,0,0.04,20.9,3.3,1.187,Light may not have been turned on to brightest setting
S1-3,June 11,161,8:21 PM,8:31 PM,10,10.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Light may not have been turned on to brightest setting
S1-3,June 11,161,8:21 PM,8:46 PM,25,13.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Light may not have been turned on to brightest setting
S1-3,June 11,161,8:21 PM,9:01 PM,40,16.4,21.3,18.2,74.6,1001.4,40,1008.4,21.6,16.6,11.87,348,96.7,0,0,0.03,21.2,3.1,1.184,Light may not have been turned on to brightest setting
S1-3,June 11,161,8:21 PM,9:16 PM,55,8.26,21.2,18.3,75.9,1001.5,39,1008.5,21.7,16.8,12.03,346,96.7,0,0,0.03,21.2,2.9,1.184,Light may not have been turned on to brightest setting
